type_chaussures,prix,adresse,image_lien,categorie
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5357418_uploaded_image1_1748904948.jpg,Chaussures Homme
Chaussures homme,18 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5357416_uploaded_image1_1748904881.jpg,Chaussures Homme
Chaussures homme,13 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5362529_uploaded_image1_1749164594.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5362520_uploaded_image1_1749164124.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5362514_uploaded_image1_1749163692.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5355476_uploaded_image1_1748815189.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5355462_uploaded_image1_1748814534.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5355453_uploaded_image1_1748814029.jpg,Chaussures Homme
Chaussures homme,10 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342583_uploaded_image1_1748031990.jpg,Chaussures Homme
Chaussures homme,18 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342587_uploaded_image1_1748032191.jpg,Chaussures Homme
Baskets Vans Knu Skool,25 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365742_uploaded_image1_1749418905.jpg,Chaussures Homme
Chaussures cuir,20 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330113_uploaded_image1_1747337081.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5348410_uploaded_image1_1748373021.jpg,Chaussures Homme
Chaussures homme,9 500,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365566_uploaded_image1_1749410561.jpg,Chaussures Homme
Chaussures homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329841_uploaded_image1_1747328617.jpg,Chaussures Homme
Chaussures homme,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5352616_uploaded_image1_1748628699.jpg,Chaussures Homme
Babouche hommes,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5352617_uploaded_image1_1748628750.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329838_uploaded_image1_1747328563.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5352618_uploaded_image1_1748628798.jpg,Chaussures Homme
Chaussures homme,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5352608_uploaded_image1_1748628558.jpg,Chaussures Homme
