web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-66","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155034_uploaded_image1_1590126438.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-67","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155030_uploaded_image1_1590126376.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-68","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155026_uploaded_image1_1590126327.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-69","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155019_uploaded_image1_1590126284.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-70","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155015_uploaded_image1_1590126241.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-71","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155013_uploaded_image1_1590126203.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-72","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155009_uploaded_image1_1590126165.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-73","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble t-shirt - short","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154745_uploaded_image1_1590119090.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-74","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble shirt short unitaire ou couple","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154740_uploaded_image1_1590118999.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-75","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Lacoste Kaki","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154724_uploaded_image1_1590118627.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-76","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154720_uploaded_image1_1590118557.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-77","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble T-shirt","13 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154712_uploaded_image1_1590118399.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-78","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tee-shirts","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2154485_uploaded_image1_1590111798.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
